Date,Locality,Sample,Equipment,Max.Depth,Mim.Depth,StartLat,StartLong,EndLat,EndLong,Duration
11/19/11,1,6,Basket,19.2024,18.5928,34.57305,-76.6745666666667,34.57478333,-76.67171667,5
11/19/11,1,7,Basket,19.2024,18.5928,34.5733,-76.67265,34.58241667,-76.66418333,15
11/19/11,1,159,Van Veen Grab,18.8976,NA,34.57966667,-76.6676333333333,NA,NA,NA
11/19/11,2,8,Basket,19.2024,18.5928,34.58826667,-76.6564333333333,34.59371667,-76.6513166666667,10
11/19/11,2,9,Basket,19.2024,18.5928,34.59066667,-76.65535,34.59661667,-76.64975,10
11/19/11,2,59,Van Veen Grab,18.8976,NA,34.58788333,-76.6576833333333,NA,NA,NA
5/19/12,2,102,Van Veen Grab,17.9832,NA,34.58406667,-76.6608333333333,NA,NA,NA
11/19/11,2,157,Van Veen Grab,18.8976,NA,34.58836667,-76.6573,NA,NA,NA
11/19/11,3,10,Basket,18.8976,17.9832,34.6114,-76.6369833333333,34.617,-76.6315,10
11/19/11,3,11,Basket,18.8976,18.288,34.61003333,-76.63885,34.61623333,-76.6345,10
11/20/11,3,24,Sled,18.288,17.3736,34.61468333,-76.6358333333333,34.61868333,-76.6316833333333,5
5/19/12,3,98,Van Veen Grab,17.6784,NA,34.60843333,-76.6395333333333,NA,NA,NA
5/19/12,3,100,Sled,17.6784,17.3736,34.60878333,-76.64115,34.61031667,-76.6446833333333,5
5/19/12,3,101,Sled,17.6784,17.6784,34.61031667,-76.6432333333333,34.61031667,-76.6400166666667,5
11/19/11,3,233,Van Veen Grab,18.288,NA,34.61625,-76.6340333333333,NA,NA,NA
11/19/11,3,235,Van Veen Grab,18.288,NA,34.61556667,-76.6339666666667,NA,NA,NA
11/19/11,4,12,Basket,16.764,15.8496,34.6303,-76.61835,34.6359,-76.6112166666667,10
11/19/11,4,13,Basket,16.764,16.4592,34.62475,-76.6207166666667,34.6301,-76.6132333333333,10
11/20/11,4,25,Basket,16.764,15.8496,34.62818333,-76.6234,34.63151667,-76.6198666666667,5
5/19/12,4,94,Van Veen Grab,15.8496,NA,34.62766667,-76.6214666666667,NA,NA,NA
5/19/12,4,97,Basket,16.764,16.4592,34.62933333,-76.62945,34.63071667,-76.6326166666667,5
5/19/12,4,99,Sled,16.4592,16.1544,34.62818333,-76.6234,34.62981667,-76.62735,5
11/20/11,4,230,Van Veen Grab,16.1544,NA,34.63191667,-76.6188333333333,NA,NA,NA
11/19/11,5,16,Basket,10.9728,6.7056,34.6545,-76.5857833333333,34.65973333,-76.5818166666667,7
11/19/11,5,17,Basket,10.668,7.9248,34.6586,-76.5826,34.65463333,-76.5855666666667,5
11/20/11,5,27,Basket,13.1064,12.4968,34.65253333,-76.5936666666667,34.65093333,-76.5886166666667,5
11/19/11,5,224,Van Veen Grab,11.5824,NA,34.65266667,-76.58485,NA,NA,NA
11/20/11,6,18,Basket,18.8976,17.9832,34.5803,-76.6657833333333,34.583,-76.6624166666667,4
11/20/11,6,19,Sled,18.5928,17.9832,34.57803333,-76.6645833333333,34.58,-76.6610666666667,5
11/20/11,6,20,Van Veen Grab,18.288,NA,34.58105,-76.6619,NA,NA,NA
11/20/11,6,223,Van Veen Grab,17.9832,NA,34.5814,-76.6619166666667,NA,NA,NA
11/20/11,7,21,Van Veen Grab,17.9832,NA,34.59433333,-76.6527666666667,NA,NA,NA
11/20/11,7,22,Sled,18.5928,17.9832,34.59655,-76.6501833333333,34.6011,-76.6476,5
11/20/11,7,23,Basket,18.5928,17.9832,34.59813333,-76.64855,34.60195,-76.6458333333333,5
11/20/11,7,236,Van Veen Grab,18.288,NA,34.59373333,-76.6527,NA,NA,NA
11/19/11,8,14,Basket,15.5448,14.6304,34.63938333,-76.60395,34.64486667,-76.5841166666667,10
11/19/11,8,15,Basket,15.5448,14.9352,34.63328333,-76.6020166666667,34.63928333,-76.5948166666667,10
11/20/11,8,26,Basket,15.5448,14.9352,34.64141667,-76.6087833333333,34.64468333,-76.6048566666667,5
5/19/12,8,91,Van Veen Grab,14.9352,NA,34.6372,-76.6010666666667,34.63598333,-76.6017,NA
5/19/12,8,92,Sled,14.9352,14.6304,34.63491667,-76.6042,34.63758333,-76.5991666666667,5
5/19/12,8,93,Basket,15.24,15.24,34.63033333,-76.5985166666667,34.6321,-76.6008333333333,5
5/19/12,8,95,Sled,15.24,14.9352,34.63183333,-76.6031833333333,34.63588333,-76.6054833333333,5
11/20/11,9,28,Basket,7.3152,6.4008,34.65873333,-76.5801333333333,34.65758333,-76.5762,5
11/20/11,9,29,Van Veen Grab,7.3152,NA,34.65748333,-76.57795,NA,NA,NA
5/19/12,9,88,Basket,9.144,7.62,34.6589,-76.57935,34.65471667,-76.5799666666667,5
5/19/12,9,89,Van Veen Grab,7.0104,NA,34.65873333,-76.5801333333333,34.65855,-76.5799666666667,NA
5/19/12,9,90,Sled,10.3632,8.2296,34.65803333,-76.5801,34.65381667,-76.58145,5
11/20/11,10,30,Basket,9.4488,8.5344,34.63246667,-76.54415,34.62866667,-76.5447333333333,5
11/20/11,10,31,Van Veen Grab,7.62,NA,34.63763333,-76.5458666666667,NA,NA,NA
11/20/11,10,222,Van Veen Grab,7.62,NA,34.63625,-76.5446,NA,NA,NA
11/22/11,11,73,Van Veen Grab,8.8392,NA,34.6783,-76.6139,NA,NA,NA
11/22/11,11,74,Basket,10.0584,5.7912,34.67898333,-76.6148333333333,34.68243333,-76.6218,10
11/22/11,11,75,Sled,10.3632,6.7056,34.68193333,-76.6208166666667,34.6783,-76.6107833333333,10
11/22/11,11,76,Van Veen Grab,8.2296,NA,34.67793333,-76.6299333333333,NA,NA,NA
5/18/12,11,83,Sled,9.7536,6.096,34.67963333,-76.6090166666667,34.67963333,-76.6090166666667,5
5/18/12,11,84,Basket,10.3632,6.4008,34.68035,-76.6091333333333,34.67855,-76.6134,5
11/22/11,11,208,Van Veen Grab,10.3632,NA,34.67875,-76.614,NA,NA,NA
11/20/11,12,32,Basket,9.144,8.8392,34.62415,-76.5475666666667,34.62821667,-76.5462666666667,5
5/19/12,12,103,Van Veen Grab,8.5344,NA,34.62468333,-76.5473333333333,NA,NA,NA
5/19/12,12,104,Sled,8.8392,8.5344,34.62588333,-76.5468333333333,34.62878333,-76.54635,5
5/19/12,12,105,Basket,8.2296,8.2296,34.63148333,-76.5455166666667,34.62941667,-76.5470166666667,5
11/21/11,13,33,Van Veen Grab,4.2672,NA,34.78696667,-76.6866833333333,NA,NA,NA
11/21/11,13,34,Sled,5.4864,5.1816,34.78473333,-76.68615,34.78328333,-76.6864666666667,2
11/21/11,13,35,Basket,5.1816,3.6576,34.78208333,-76.68605,34.77966667,-76.6864166666667,2
5/18/12,13,72,Sled,5.7912,5.4864,34.8001,-76.6869333333333,34.7963,-76.68775,5
5/18/12,13,96,Basket,5.7912,5.4864,34.80071667,-76.6868833333333,34.7967,-76.6870333333333,5
6/2/11,14,5,Basket,4.2672,NA,34.75723333,-76.6722833333333,34.75768333,-76.6730333333333,NA
11/21/11,14,36,Basket,5.7912,2.65176,34.75596667,-76.6715333333333,34.75105,-76.6714833333333,5
11/21/11,14,37,Sled,5.4864,4.8768,34.7518,-76.6711333333333,34.7547,-76.67165,5
11/21/11,14,38,Van Veen Grab,5.4864,NA,34.75553333,-76.67195,NA,NA,NA
11/21/11,14,39,Van Veen Grab,5.1816,NA,34.755,-76.6716333333333,NA,NA,NA
5/18/12,14,143,Sled,6.7056,5.4864,34.76251667,-76.6760333333333,34.75931667,-76.6738166666667,5
5/18/12,14,144,Van Veen Grab,6.7056,NA,34.75791667,-76.6731,NA,NA,NA
5/18/12,14,174,Basket,6.4008,4.572,34.76318333,-76.6763833333333,34.76006667,-76.6736333333333,5
6/2/11,15,1,Basket,4.2672,NA,34.71058333,-76.7096,NA,NA,NA
6/2/11,15,2,Basket,3.9624,NA,34.71118333,-76.7082666666667,34.71106667,-76.70845,NA
11/21/11,15,40,Basket,6.096,5.1816,34.72408333,-76.6937,34.72835,-76.6932833333333,5
11/21/11,15,41,Sled,6.4008,4.8768,34.72895,-76.6925166666667,34.7253,-76.6941333333333,5
5/18/12,15,77,Sled,6.7056,5.4864,34.73361667,-76.6884666666667,34.73021667,-76.69215,5
5/18/12,15,78,Basket,6.7056,5.7912,34.73368333,-76.689,34.73086667,-76.6913,5
5/18/12,15,79,Van Veen Grab,3.3528,NA,34.72718333,-76.6941,NA,NA,NA
11/21/11,15,220,Van Veen Grab,5.7912,NA,34.72431667,-76.6934333333333,NA,NA,NA
11/21/11,16,42,Van Veen Grab,13.1064,NA,34.68235,-76.6669166666667,NA,NA,NA
11/21/11,16,43,Van Veen Grab,9.7536,NA,34.68161667,-76.6662333333333,NA,NA,NA
11/21/11,16,44,Van Veen Grab,14.9352,NA,34.68141667,-76.6676333333333,NA,NA,NA
11/21/11,16,45,Basket,16.764,14.6304,34.68008333,-76.6674166666667,34.67693333,-76.6684833333333,5
